 CollectionName ||      DataCount ||       add ||       get ||    remove ||  contains ||  populate ||   iterator.add ||   iterator.remove
      ArrayList ||          10000 ||  2,000000 ||  0,000000 || 64,000000 ||  1,000000 ||  0,000000 ||       2,000000 ||         13,000000
      ArrayList ||         100000 ||  7,000000 ||  0,000000 ||3780,000000 ||  6,000000 ||  0,000000 ||       5,000000 ||        883,000000
      ArrayList ||        1000000 || 70,000000 ||  0,000000 ||1108258,000000 ||  7,000000 ||  3,000000 ||      11,000000 ||     206760,000000
     LinkedList ||          10000 ||  3,000000 ||  0,000000 || 89,000000 ||  0,000000 ||  1,000000 ||       2,000000 ||          4,000000
     LinkedList ||         100000 ||  7,000000 ||  0,000000 ||8529,000000 ||  3,000000 ||  6,000000 ||       2,000000 ||          9,000000
     LinkedList ||        1000000 ||773,000000 ||  0,000000 ||3125438,000000 || 11,000000 || 12,000000 ||      19,000000 ||        183,000000
        HashSet ||          10000 ||  3,000000 ||  0,000000 ||  3,000000 ||  0,000000 ||  3,000000 ||       0,000000 ||          0,000000
        HashSet ||         100000 || 12,000000 ||  0,000000 ||  6,000000 ||  0,000000 ||  6,000000 ||       0,000000 ||          0,000000
        HashSet ||        1000000 ||944,000000 ||  0,000000 || 17,000000 ||  0,000000 || 18,000000 ||       0,000000 ||          0,000000
        TreeSet ||          10000 ||  8,000000 ||  0,000000 || 11,000000 ||  0,000000 ||  5,000000 ||       0,000000 ||          0,000000
        TreeSet ||         100000 || 30,000000 ||  0,000000 ||  7,000000 ||  0,000000 || 18,000000 ||       0,000000 ||          0,000000
        TreeSet ||        1000000 ||263,000000 ||  0,000000 || 72,000000 ||  0,000000 ||189,000000 ||       0,000000 ||          0,000000
